Sr no,Country,Area (ha),No of trees,Longitude,Latitude,Google Maps Link
1,Indonesia,16894,2196220,116.7719915,1.149087509,"https://www.google.com/maps?q=1.14908750934733,116.771991485832"
2,Indonesia,94,12220,116.0601568,-1.855789194,"https://www.google.com/maps?q=-1.85578919353741,116.060156755583"
3,Indonesia,20552,2671760,116.1964058,-2.211609448,"https://www.google.com/maps?q=-2.21160944806591,116.196405773976"
4,Indonesia,8134,1057420,117.1178651,3.219644365,"https://www.google.com/maps?q=3.21964436478316,117.117865105307"
5,Indonesia,2094,272220,117.3468915,2.755505756,"https://www.google.com/maps?q=2.75550575582694,117.346891489252"
6,Indonesia,777,101010,117.5266603,3.600227849,"https://www.google.com/maps?q=3.60022784947603,117.526660303217"
7,Indonesia,7325,952250,115.0700883,0.02918079104,"https://www.google.com/maps?q=0.0291807910351974,115.070088262082"
8,Indonesia,6631,862030,116.3948204,-1.425171549,"https://www.google.com/maps?q=-1.42517154852343,116.394820445037"
9,Indonesia,15033,1954290,116.9948398,1.283060559,"https://www.google.com/maps?q=1.28306055884598,116.994839758097"
10,Indonesia,4440,577200,116.8329105,3.91706542,"https://www.google.com/maps?q=3.91706541974178,116.832910499146"
11,Indonesia,991,128830,116.108977,-1.643759826,"https://www.google.com/maps?q=-1.64375982562919,116.108976961418"
12,Indonesia,19455,2529150,116.3946006,-1.967601681,"https://www.google.com/maps?q=-1.96760168133013,116.394600628637"
13,Indonesia,5170,672100,116.693609,-1.150847434,"https://www.google.com/maps?q=-1.15084743394566,116.693609043527"
14,Indonesia,9533,1239290,117.4126196,3.881243629,"https://www.google.com/maps?q=3.88124362884698,117.412619563152"
15,Indonesia,22443,2917590,117.2874498,3.85445045,"https://www.google.com/maps?q=3.85445045044902,117.287449781578"
16,Indonesia,23989,3118570,117.0731182,3.682959373,"https://www.google.com/maps?q=3.68295937293902,117.073118155626"
17,Indonesia,15038,1954940,116.8629477,3.525062059,"https://www.google.com/maps?q=3.5250620590592,116.862947678205"
18,Indonesia,4068,528840,117.5861608,2.648544528,"https://www.google.com/maps?q=2.64854452808386,117.586160822348"
19,Indonesia,24551,3191630,117.4009735,2.233768022,"https://www.google.com/maps?q=2.23376802208179,117.400973541448"
20,Indonesia,11335,1473550,117.9703937,1.142746788,"https://www.google.com/maps?q=1.14274678817354,117.970393743897"
21,Indonesia,12824,1667120,117.9664786,0.8440959304,"https://www.google.com/maps?q=0.844095930376688,117.966478636291"
22,Indonesia,21296,2768480,117.6847237,0.9024896176,"https://www.google.com/maps?q=0.902489617631183,117.684723663079"
23,Indonesia,8965,1165450,117.8724696,0.9648526786,"https://www.google.com/maps?q=0.964852678567767,117.872469646823"
24,Indonesia,23095,3002350,117.6187166,0.6615593641,"https://www.google.com/maps?q=0.661559364071921,117.618716556778"
25,Indonesia,18986,2468180,117.4533133,0.6584402909,"https://www.google.com/maps?q=0.658440290943017,117.453313269013"
26,Indonesia,22762,2959060,117.0926743,1.499686059,"https://www.google.com/maps?q=1.4996860591343,117.092674305822"
27,Indonesia,15077,1960010,117.1876959,1.426729201,"https://www.google.com/maps?q=1.42672920055128,117.187695863663"
28,Indonesia,1110,144300,116.8349869,0.9843845422,"https://www.google.com/maps?q=0.984384542215075,116.834986869017"
29,Indonesia,9602,1248260,116.9292041,1.03216945,"https://www.google.com/maps?q=1.03216945010307,116.929204068295"
30,Indonesia,12411,1613430,116.8977223,0.9280131582,"https://www.google.com/maps?q=0.928013158185292,116.897722348714"
31,Indonesia,19960,2594800,117.0768573,0.887846069,"https://www.google.com/maps?q=0.887846069039262,117.076857319119"
32,Indonesia,12335,1603550,117.2176476,0.7603402057,"https://www.google.com/maps?q=0.760340205686121,117.217647603593"
33,Indonesia,2372,308360,116.7933841,0.6315942401,"https://www.google.com/maps?q=0.631594240149552,116.793384101035"
34,Indonesia,2757,358410,116.7743841,0.5768130453,"https://www.google.com/maps?q=0.57681304530459,116.774384095015"
35,Indonesia,14412,1873560,116.5155124,0.2528667834,"https://www.google.com/maps?q=0.252866783414497,116.515512383142"
36,Indonesia,14640,1903200,116.4623352,0.1297057432,"https://www.google.com/maps?q=0.129705743217655,116.46233516245"
37,Indonesia,22412,2913560,115.1736778,0.3716521793,"https://www.google.com/maps?q=0.371652179321446,115.173677840727"
38,Indonesia,8625,1121250,115.6878668,-0.02298996702,"https://www.google.com/maps?q=-0.0229899670207822,115.687866846609"
39,Indonesia,15003,1950390,115.9215147,-0.2219166843,"https://www.google.com/maps?q=-0.221916684292813,115.921514715261"
40,Indonesia,22642,2943460,115.8301287,-0.4020470521,"https://www.google.com/maps?q=-0.402047052118662,115.83012868807"
41,Indonesia,20659,2685670,115.4967487,-0.6640011254,"https://www.google.com/maps?q=-0.66400112544094,115.496748746089"
42,Indonesia,14840,1929200,115.6058121,-0.6107742053,"https://www.google.com/maps?q=-0.610774205258204,115.605812109941"
43,Indonesia,9023,1172990,115.7357624,-0.7665035105,"https://www.google.com/maps?q=-0.766503510485803,115.735762421135"
44,Indonesia,36689,4769570,115.8195192,-0.6491010743,"https://www.google.com/maps?q=-0.649101074285361,115.819519223595"
45,Indonesia,15178,1973140,115.8782227,-0.8389111458,"https://www.google.com/maps?q=-0.838911145849457,115.878222726366"
46,Indonesia,8860,1151800,115.6956027,-0.9537347913,"https://www.google.com/maps?q=-0.953734791345058,115.695602726838"
